Zitat,Person,Rolle
"Die einzige Grenze, die ein Mensch hat, sind die Grenzen seiner eigenen Vorstellungskraft.", Albert Einstein,Wissenschaftler
"Sei die Veränderung, die du in der Welt sehen möchtest.", Mahatma Gandhi,Politiker
"Das Leben ist das, was passiert, während du eifrig dabei bist, andere Pläne zu machen.", John Lennon,Musiker
"Der Weg zum Erfolg ist, einmal mehr aufzustehen, als man hingefallen ist.", Winston Churchill,Politiker
"Das größte Vergnügen im Leben besteht darin, Dinge zu tun, von denen die Leute sagen, du könntest sie nicht tun.", Walter Bagehot,Autor
"Die Zukunft hängt davon ab, was wir heute tun.", Mahatma Gandhi,Politiker
"Man muss das Unmögliche versuchen, um das Mögliche zu erreichen.", Hermann Hesse,Schriftsteller
"Die beste Zeit für einen Neuanfang ist jetzt.", Unbekannt,Unbekannt
"Das Leben ist von Natur aus unbeständig. Nichts bleibt, wie es ist.", Buddha,Religiöse Führungspersönlichkeit
"Die einzige Art, große Arbeit zu leisten, besteht darin, die Arbeit zu lieben.", Steve Jobs,Unternehmer
"Die Zukunft gehört denen, die an die Schönheit ihrer Träume glauben.", Eleanor Roosevelt,Politikerin
"Kreativität ist Intelligenz, die Spaß hat.", Albert Einstein,Wissenschaftler
"Das Geheimnis des Erfolgs ist, den Standpunkt des anderen zu verstehen.", Henry Ford,Unternehmer
"Die Tat unterscheidet das Genie vom Träumer.", Steve Jobs,Unternehmer
"Der einzige Weg, großartige Arbeit zu leisten, ist, zu lieben, was du tust.", Steve Jobs,Unternehmer
"Die größte Ehre, die man einem Menschen antun kann, ist die, dass man zu ihm Vertrauen hat.", Matthias Claudius,Dichter
"Die Zukunft hängt davon ab, was wir heute tun.", Mahatma Gandhi,Politiker
"Die größten Entdeckungen entstehen oft aus einem Missverständnis.", Carl Gustav Jung,Psychiater
"Man sieht nur mit dem Herzen gut. Das Wesentliche ist für die Augen unsichtbar.", Antoine de Saint-Exupéry,Schriftsteller
"Die Wahrheit ist wie ein Löwe. Du musst sie nicht verteidigen. Lass sie einfach los, und sie wird sich selbst verteidigen.", Augustinus von Hippo,Theologe
"Der Weg zur Spitze ist mit Leuten gepflastert, die dich runterziehen wollen.", Frank Sinatra,Musiker
"Das Schwierige am Leben ist, Herz und Kopf dazu zu bringen, zusammenzuarbeiten.", Woody Allen,Filmschaffender
"Der wirkliche Wert eines Menschen zeigt sich in seinem Charakter und in seiner Integrität.", Bob Marley,Musiker
"Die wahre Lebenskunst besteht darin, im Alltäglichen das Wunderbare zu sehen.", Pearl S. Buck,Schriftstellerin
"Der Mensch ist nur da ganz Mensch, wo er spielt.", Friedrich Schiller,Dichter
"Das größte Vergnügen im Leben besteht darin, Dinge zu tun, von denen die Leute sagen, du könntest sie nicht tun.", Walter Bagehot,Autor
"Seien Sie die Veränderung, die Sie in der Welt sehen wollen.", Mahatma Gandhi,Politiker
"Die größte Freude ist die, die wir beim Erschaffen empfinden.", Albert Einstein,Wissenschaftler
